frame_timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger,control_timestamp
1778600883.155138,0.165884184023804,0.1625629114213778,0.5529411764705883,1.5259021896696368e-05,0.0,0.0,1778600883.2293613
1778600883.277637,0.1282371252002746,0.125668793774319,0.4274509803921569,1.5259021896696368e-05,0.0,0.0,1778600883.3282287
1778600883.422115,0.0905900663767452,0.0887746761272602,0.3019607843137255,1.5259021896696368e-05,0.0,0.0,1778600883.4872782
1778600883.560994,0.0656470588235294,0.1132188235294117,0.3019607843137255,-0.207843137254902,0.0,0.0,1778600883.620211
1778600883.668678,0.0444705882352941,0.0924658823529411,0.2313725490196079,-0.207843137254902,0.0,0.0,1778600883.77747
1778600883.804398,-0.0049411764705882,0.1270541176470588,0.2078431372549019,-0.5607843137254902,0.0,0.0,1778600883.9383342
1778600884.916700,0.1729430075532158,0.1694805584802014,0.5764705882352941,1.5259021896696368e-05,0.0,0.0,1778600885.026121
1778600885.038965,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.173103
1778600885.187366,0.1682371252002746,0.164868793774319,0.5607843137254902,1.5259021896696368e-05,0.0,0.0,1778600885.2972667
1778600885.327815,0.1682371252002746,0.164868793774319,0.5607843137254902,1.5259021896696368e-05,0.0,0.0,1778600885.2972667
1778600885.441625,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600885.560213,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600885.701669,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600885.841269,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600885.986771,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600886.130945,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600886.270830,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600885.4422228
1778600886.425615,0.1682371252002746,0.164868793774319,0.5607843137254902,1.5259021896696368e-05,0.0,0.0,1778600886.45767
1778600886.564183,0.1423547722590982,0.1395040878919661,0.4745098039215687,1.5259021896696368e-05,0.0,0.0,1778600886.5723138
1778600886.669613,0.1470606546120393,0.1441158525978484,0.4901960784313726,1.5259021896696368e-05,0.0,0.0,1778600886.702716
1778600886.794308,0.1564724193179217,0.1533393820096131,0.5215686274509803,1.5259021896696368e-05,0.0,0.0,1778600886.8173575
1778600886.943762,0.1564724193179217,0.1533393820096131,0.5215686274509803,1.5259021896696368e-05,0.0,0.0,1778600886.8173575
1778600887.084635,0.1564724193179217,0.1533393820096131,0.5215686274509803,1.5259021896696368e-05,0.0,0.0,1778600886.8173575
1778600887.225327,0.1564724193179217,0.1533393820096131,0.5215686274509803,1.5259021896696368e-05,0.0,0.0,1778600886.8173575
1778600887.365787,0.1564724193179217,0.1533393820096131,0.5215686274509803,1.5259021896696368e-05,0.0,0.0,1778600886.8173575
1778600887.509717,0.1588253604943922,0.1556452643625543,0.5294117647058822,1.5259021896696368e-05,0.0,0.0,1778600887.5687878
1778600887.610569,0.1564724193179217,0.1533393820096131,0.5215686274509803,1.5259021896696368e-05,0.0,0.0,1778600887.669314
1778600887.749742,0.165884184023804,0.1625629114213778,0.5529411764705883,1.5259021896696368e-05,0.0,0.0,1778600887.8129804
1778600887.897372,0.1705900663767452,0.1671746761272602,0.5686274509803921,1.5259021896696368e-05,0.0,0.0,1778600887.946017
1778600888.036120,0.1682371252002746,0.164868793774319,0.5607843137254902,1.5259021896696368e-05,0.0,0.0,1778600888.0977197
1778600888.183551,0.1447077134355688,0.1418099702449073,0.4823529411764706,1.5259021896696368e-05,0.0,0.0,1778600888.2756634
1778600888.292396,0.1781176470588235,0.1090682352941176,0.4823529411764706,0.2784313725490195,0.0,0.0,1778600888.3752887
1778600888.415141,0.1400018310826275,0.1371982055390249,0.4666666666666665,1.5259021896696368e-05,0.0,0.0,1778600888.512247
1778600888.551292,0.1329430075532158,0.1302805584802014,0.4431372549019607,1.5259021896696368e-05,0.0,0.0,1778600888.623029
1778600888.661302,0.1329430075532158,0.1302805584802014,0.4431372549019607,1.5259021896696368e-05,0.0,0.0,1778600888.623029
1778600888.808679,0.1329430075532158,0.1302805584802014,0.4431372549019607,1.5259021896696368e-05,0.0,0.0,1778600888.623029
1778600888.935802,0.1329430075532158,0.1302805584802014,0.4431372549019607,1.5259021896696368e-05,0.0,0.0,1778600888.623029
1778600889.080607,0.1329430075532158,0.1302805584802014,0.4431372549019607,1.5259021896696368e-05,0.0,0.0,1778600888.623029
1778600889.224888,0.1400018310826275,0.1371982055390249,0.4666666666666665,1.5259021896696368e-05,0.0,0.0,1778600889.3037696
1778600889.364695,0.1517665369649805,0.1487276173037308,0.5058823529411764,1.5259021896696368e-05,0.0,0.0,1778600889.4580908
1778600889.465915,0.1757647058823529,0.1252094117647058,0.5058823529411764,0.1999999999999999,0.0,0.0,1778600889.5720158
1778600889.574441,0.1734117647058823,0.1229035294117647,0.4980392156862745,0.1999999999999999,0.0,0.0,1778600889.615705
1778600889.699882,0.1494135957885099,0.1464217349507896,0.4980392156862745,1.5259021896696368e-05,0.0,0.0,1778600889.7498057
