timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger
1777994714.4880464,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.5330439,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.5772038,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.6229136,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.6731615,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.7222502,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.7690644,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.8162382,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.86487,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.9082346,0.0,0.0,0.0,0.0,0.0,0.0
1777994714.9610767,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.0200324,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.0556436,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.1020792,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.1494691,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.199222,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.2576334,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.3001204,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.3432794,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.3963807,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.4322221,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.4835508,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.5311627,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.5791326,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.6258678,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.6745574,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.7207494,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.7665124,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.8173027,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.8651583,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.913781,0.0,0.0,0.0,0.0,0.0,0.0
1777994715.9598012,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.0078063,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.0557418,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.1010978,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.145566,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.1959782,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.2488399,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.2904096,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.3405674,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.3877091,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.4330826,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.4825802,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.5416644,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.581268,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.6259918,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.671728,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.721345,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.772227,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.8318217,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.8698878,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.9194224,0.0,0.0,0.0,0.0,0.0,0.0
1777994716.9634638,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.006606,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.053827,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.1034327,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.1472301,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.2016735,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.2463233,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.2884183,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.3365934,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.3898854,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.4316485,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.4789865,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.532469,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.579408,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.6219263,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.6739714,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.7185285,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.7677174,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.820245,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.86237,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.9118109,0.0,0.0,0.0,0.0,0.0,0.0
1777994717.9553194,0.0,0.0,0.0,0.0,0.0,0.0
1777994718.0104125,0.0,0.0,0.0,0.0,0.0,0.0
1777994718.0622663,0.0,0.0,0.0,0.0,0.0,0.0
