timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger
1777995117.414404,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.462985,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.5043042,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.553879,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.6117177,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.6866848,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.7022877,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.7574656,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.7976246,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.8347685,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.88445,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.9353821,0.0,0.0,0.0,0.0,0.0,0.0
1777995117.982602,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.0343688,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.0786936,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.1233978,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.1661978,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.2211082,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.2741923,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.3146553,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.3625972,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.4109557,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.4532204,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.5059218,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.56319,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.6069355,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.6516807,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.6997967,0.0,0.0,0.0,0.0,0.0,0.0
1777995118.743355,0.0,0.0,0.0,0.0,0.0,0.0
