timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger
1777995237.4244814,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.4606233,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.5088227,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.556635,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.5986311,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.6512692,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.699915,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.743509,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.7850518,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.8380187,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.8784497,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.9277406,0.0,0.0,0.0,0.0,0.0,0.0
1777995237.9736524,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.0237901,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.0767424,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.1213038,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.1699543,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.2115295,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.2634451,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.314565,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.3559322,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.403468,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.4544334,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.5017061,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.549287,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.5972383,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.642767,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.6956303,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.7372692,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.7901525,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.8364887,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.8787577,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.9307208,0.0,0.0,0.0,0.0,0.0,0.0
1777995238.9795575,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.0397475,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.0799065,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.1185462,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.1710725,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.220254,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.2676957,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.3127594,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.3537138,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.4027297,0.0,0.0,0.0,0.0,0.0,0.0
1777995239.4504817,0.0,0.0,0.0,0.0,0.0,0.0
