timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger
1778600062.3106894,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.3643994,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.4076521,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.4513636,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.504683,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.5461679,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.6007,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.657047,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.689462,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.7344818,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.7855954,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.835003,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.8775232,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.934871,0.0,0.0,0.0,0.0,0.0,0.0
1778600062.9844341,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.0265212,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.0805814,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.1184342,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.1663008,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.214407,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.2682424,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.31257,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.3546848,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.4064028,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.4538903,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.503381,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.5597885,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.5934436,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.6417024,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.685237,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.7336795,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.7833686,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.8285122,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.8781984,0.0,0.0,0.0,0.0,0.0,0.0
1778600063.9270914,0.0,0.0,0.0,0.0,0.0,0.0
