timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger
1778600182.4641802,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.5194547,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.542292,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.5972748,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.640427,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.6964104,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.7435734,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.7830915,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.8286376,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.8803961,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.9205978,0.0,0.0,0.0,0.0,0.0,0.0
1778600182.9689472,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.0188015,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.0642896,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.1126165,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.1625462,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.2111065,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.2536685,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.304252,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.3503082,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.3980837,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.4483058,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.4967358,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.5405958,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.5919049,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.645746,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.690863,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.7345774,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.7914302,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.8400946,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.8900785,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.9500792,0.0,0.0,0.0,0.0,0.0,0.0
1778600183.9785287,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.0257096,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.0693886,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.1298013,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.1693754,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.2277777,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.2701132,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.343861,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.3618422,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.4055772,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.4708154,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.5036147,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.5474498,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.5952213,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.6422021,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.6895332,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.740861,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.7858627,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.8284905,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.8780277,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.9293065,0.0,0.0,0.0,0.0,0.0,0.0
1778600184.9697778,0.0,0.0,0.0,0.0,0.0,0.0
1778600185.0243404,0.0,0.0,0.0,0.0,0.0,0.0
1778600185.0707414,0.0,0.0,0.0,0.0,0.0,0.0
1778600185.119628,0.0,0.0,0.0,0.0,0.0,0.0
1778600185.1663458,0.0,0.0,0.0,0.0,0.0,0.0
